Country,Reach,Impressions,Frequency,Result Type,Amount Spent (USD),"Cost per 1,000 People Reached",Results,Cost per Result,Reporting Starts,Reporting Ends
US,16367,52406,3.201930714,,825.3984157,50.43064799,13,63.49218582,3/15/18,1/24/19
IN,9296,19053,2.049591222,,71.49813031,7.69127908,58,1.23272638,3/15/18,1/24/19
NG,3776,8850,2.34375,,25.33933737,6.7106296,18,1.40774097,3/15/18,1/24/19
PK,3504,9996,2.852739726,,17.98952957,5.13399817,22,0.81770589,3/15/18,1/24/19
BD,5504,15529,2.821402616,,16.93955703,3.07768115,19,0.89155563,3/15/18,1/24/19
KE,1584,3315,2.09280303,,8.8297691,5.57434918,9,0.98108546,3/15/18,1/24/19
GH,1488,3551,2.386424731,,8.569775899,5.759258,8,1.07122199,3/15/18,1/24/19
BR,784,1470,1.875,,8.109787928,10.34411725,5,1.62195759,3/15/18,1/24/19
NP,3584,10490,2.926897321,,7.999790804,2.23208449,11,0.72725371,3/15/18,1/24/19
ID,1088,2296,2.110294118,,7.369807278,6.77371992,5,1.47396146,3/15/18,1/24/19
MY,400,692,1.73,,5.139865592,12.84966398,4,1.2849664,3/15/18,1/24/19
PH,560,1701,3.0375,,5.109866376,9.12476139,5,1.02197328,3/15/18,1/24/19
MX,208,859,4.129807692,,5.079867161,24.42243827,1,5.07986716,3/15/18,1/24/19
TZ,1664,4514,2.712740385,,5.059867684,3.04078587,4,1.26496692,3/15/18,1/24/19
EG,1376,2565,1.864098837,,5.039868207,3.66269492,11,0.45816984,3/15/18,1/24/19
LK,1088,3211,2.951286765,,4.67987762,4.30135811,2,2.33993881,3/15/18,1/24/19
ZA,320,570,1.78125,,4.389885204,13.71839126,2,2.1949426,3/15/18,1/24/19
MM,880,2858,3.247727273,,4.109892526,4.67033242,3,1.36996418,3/15/18,1/24/19
CA,160,276,1.725,,3.729902462,23.31189039,,,3/15/18,1/24/19
GB,48,102,2.125,,3.449909784,71.87312051,,,3/15/18,1/24/19
UG,912,1850,2.028508772,,3.219915799,3.53060943,4,0.80497895,3/15/18,1/24/19
ZM,896,1934,2.158482143,,2.979922075,3.32580589,6,0.49665368,3/15/18,1/24/19
ZW,704,1415,2.009943182,,2.779927304,3.94876038,3,0.92664243,3/15/18,1/24/19
BW,784,1846,2.354591837,,2.629931227,3.35450412,1,2.62993123,3/15/18,1/24/19
MA,416,1519,3.651442308,,2.529933842,6.08157174,,,3/15/18,1/24/19
