Country,"Amount Spent (USD)","Cost per 1,000 People Reached","Leads (Form)","Cost per Lead (Form)",Reach,"Reporting Starts","Reporting Ends"
US,1003.3220567935,47.58237963,18,55.74011427,21086,2018-03-15,2019-05-27
AE,7.1593724665308,55.93259739,1,7.15937247,128,2018-03-15,2019-05-27
TH,5.2495398672188,27.34135348,1,5.24953987,192,2018-03-15,2019-05-27
EC,4.5695994653695,142.79998329,1,4.56959947,32,2018-03-15,2019-05-27
BR,31.797212910011,17.13211902,8,3.97465161,1856,2018-03-15,2019-05-27
MX,22.618017485046,44.1758154,6,3.76966958,512,2018-03-15,2019-05-27
GB,7.4393479261158,33.21137467,2,3.71967396,224,2018-03-15,2019-05-27
BW,3.4197002563597,4.27462532,1,3.41970026,800,2018-03-15,2019-05-27
JM,3.4097011328031,26.6382901,1,3.40970113,128,2018-03-15,2019-05-27
IT,3.3497063914634,34.89277491,1,3.34970639,96,2018-03-15,2019-05-27
LB,6.3994390762287,39.99649423,2,3.19971954,160,2018-03-15,2019-05-27
RU,3.1097274261049,32.39299402,1,3.10972743,96,2018-03-15,2019-05-27
UA,9.089203312956,21.84904643,3,3.02973444,416,2018-03-15,2019-05-27
JO,2.979738819869,9.31168381,1,2.97973882,320,2018-03-15,2019-05-27
SI,2.9697396963124,92.80436551,1,2.9697397,32,2018-03-15,2019-05-27
AF,2.8797475843029,5.624507,1,2.87974758,512,2018-03-15,2019-05-27
RO,8.6092453822389,29.89321313,3,2.86974846,288,2018-03-15,2019-05-27
GT,2.8397510900765,22.18555539,1,2.83975109,128,2018-03-15,2019-05-27
LK,11.249014001183,5.49268262,4,2.8122535,2048,2018-03-15,2019-05-27
GR,5.5195162032472,21.56061017,2,2.7597581,256,2018-03-15,2019-05-27
BG,5.0095609018603,22.36411117,2,2.50478045,224,2018-03-15,2019-05-27
PL,2.4397861478122,19.06082928,1,2.43978615,128,2018-03-15,2019-05-27
FR,4.7495836893885,29.13855024,2,2.37479184,163,2018-03-15,2019-05-27
VN,6.9593899953987,21.74809374,3,2.31979667,320,2018-03-15,2019-05-27
ZA,11.488992966542,19.94616834,5,2.29779859,576,2018-03-15,2019-05-27
CR,2.0898168233309,21.76892524,1,2.08981682,96,2018-03-15,2019-05-27
AR,5.7594951686058,16.36220218,3,1.91983172,352,2018-03-15,2019-05-27
XK,1.909832599312,6.63136319,1,1.9098326,288,2018-03-15,2019-05-27
CO,7.5193409145687,14.68621272,4,1.87983523,512,2018-03-15,2019-05-27
NG,33.077100725257,7.89052975,18,1.83761671,4192,2018-03-15,2019-05-27
SA,1.8298396108591,28.59124392,1,1.82983961,64,2018-03-15,2019-05-27
HU,3.4896941212559,36.35098043,2,1.74484706,96,2018-03-15,2019-05-27
IN,194.18297946931,11.13562217,115,1.68854765,17438,2018-03-15,2019-05-27
DO,3.3697046385767,35.10108999,2,1.68485232,96,2018-03-15,2019-05-27
KZ,1.6498553868402,10.31159617,1,1.64985539,160,2018-03-15,2019-05-27
MY,21.018157715989,23.45776531,13,1.61678136,896,2018-03-15,2019-05-27
TZ,6.289448717106,3.38871159,4,1.57236218,1856,2018-03-15,2019-05-27
AM,3.1297256732181,10.86710303,2,1.56486284,288,2018-03-15,2019-05-27
BA,1.5598632748307,16.24857578,1,1.55986327,96,2018-03-15,2019-05-27
PH,17.058504787572,14.80772985,11,1.55077316,1152,2018-03-15,2019-05-27
NP,18.53837507395,3.68996319,12,1.54486459,5024,2018-03-15,2019-05-27
DZ,2.979738819869,7.1628337,2,1.48986941,416,2018-03-15,2019-05-27
