,fb_shares,site_link,site_link_title
0,163035,https://www.fatherly.com/health-science/parent-death-psychological-physical-effects/,Losing a Parent Changes Us Forever. There's Proof.
1,66683,https://www.fatherly.com/news/48-hour-challenge-fake-own-kidnapping/,The Bizarre New Viral '48-Hour Challenge' Dares Kids to Go Missing
2,63146,https://www.fatherly.com/news/fda-teething-jewelry-warning-infant-strangled/,"Stay Away From Teething Jewelry, FDA Warns Parents"
3,49984,https://www.fatherly.com/news/mom-gets-put-faces-criticism-after-threatening-breastfeeding-moms-on-social-media/,This Mom Threatened to Punch Breastfeeding Women in a Disgusting Viral Rant
4,38527,https://www.fatherly.com/parenting/discipline-and-behavior/parents-yell-affect-child-development-laura-markham/,What You're Doing When You Yell At Your Kid
5,38028,https://www.fatherly.com/news/uber-kids-shuttle-service/,'Uber for Kids' Shuttle Service is Coming for Your Children
6,23187,https://www.fatherly.com/health-science/happy-marriage-makes-men-fat/,You’re (Probably) Fat Because You’re Happy
7,21952,https://www.fatherly.com/news/baby-shark-tv-show-netflix/,Parents Beware: A 'Baby Shark' TV Show is Coming to Netflix
8,21248,https://www.fatherly.com/health-science/does-pot-reduce-domestic-violence/,Want to Stop Fighting With Your Wife? Get High Together.
9,16281,https://www.fatherly.com/health-science/the-link-between-gut-bacteria-and-your-kids-behavior-just-got-stronger/,The Link Between Gut Bacteria And Your Kid's Behavior Just Got Stronger
10,14700,https://www.fatherly.com/gear/shittens-disposable-gloves-keep-hands-clean/,Shittens Are Disposable Gloves For Wiping Your Toddler's Butt
11,14569,https://www.fatherly.com/gear/home/jellytank-jellyfish-aquarium/,"Move Over Bettas, Jellyfish Are the New Hassle-Free Kids’ Pet"
12,14494,https://www.fatherly.com/love-money/children-friendships-cousins-development-family-dynamics/,Why Young Kids Need Their Cousins
13,13456,https://www.fatherly.com/health-science/physics-rear-facing-car-seats-kids/,The 600-Pound Argument for Keeping Toddlers in Rear-Facing Car Seats
14,13065,https://www.fatherly.com/news/map-average-cost-house-each-state-us/,This Map Shows How Much You Need to Make to Afford the Average Home in Every State
15,12580,https://www.fatherly.com/news/adam-sandlers-tribute-to-chris-farley-will-break-your-heart/,Adam Sandler's Touching Tribute to Chris Farley Will Break Your Heart
16,11963,https://www.fatherly.com/news/school-high-vaccine-opt-out-rate-gets-hit-with-chickenpox-outbreak/,School With High Vaccine Opt-Out Rate is Facing Worst Chickenpox Outbreak in Two Decades
17,11934,https://www.fatherly.com/gear/kid-o-bunk/,This Take-Anywhere Bunk Bed Upgrades Any Campground
18,11523,https://www.fatherly.com/news/cdc-fertility-rate-united-states/,CDC Finds Americans Aren’t Having Enough Babies to Replace Ourselves
19,10813,https://www.fatherly.com/news/parents-are-furious-after-a-daycare-taped-a-toddlers-shoes-to-her-ankles/,Parents Are Furious After a Daycare Taped Their Toddler's Shoes to Her Ankles
20,9622,https://www.fatherly.com/gear/how-to-make-a-cheeseball-machine-gun/,If You're Not Pelting Your Kids With This Cheese Ball Machine Gun You're Parenting Wrong
21,8972,https://www.fatherly.com/news/frozen-2-release-date/,Brace Yourself Parents: 'Frozen 2' Will Finally Be Released This Year
22,8685,https://www.fatherly.com/news/snl-sketch-parents-on-christmas-matt-damon/,This 'SNL' Sketch Gets A Little TOO Real About Exactly What It's Like for Parents on Christmas
23,8589,https://www.fatherly.com/news/moms-throw-vasectomy-parties-husbands/,Couples Are Throwing Awesome Parties to Celebrate Getting a Vasectomy
24,7594,https://www.fatherly.com/parenting/discipline-and-behavior/how-to-teach-child-emotional-intelligence/,The 3 Things I Do When My Toddler Melts Down That Help Build Emotional Intelligence
25,7087,https://www.fatherly.com/gear/freespirits-journey-basecamp-trailer-tent/,This Trailer Tent Turns Your Family Car Camp Into A Camp Fortress
26,7051,https://www.fatherly.com/news/youtube-kids-trolls-self-harm-video-reupload/,YouTube Trolls Are Targeting Kids by Promoting Self-Harm in Animated Shows
27,6822,https://www.fatherly.com/news/baby-shark-billboard-hot-100/,‘Baby Shark’ Just Beat Out Ariana Grande on the Billboard Hot 100
28,6809,https://www.fatherly.com/health-science/behavior/behavior-phone-distraction/,"Stop Looking at Your iPhone, You're Ruining Your Child"
29,6422,https://www.fatherly.com/news/stop-throwing-cheese-at-your-babies-you-monsters/,"Stop Throwing Cheese at Your Babies, You Monsters"
30,6397,https://www.fatherly.com/news/sesame-place-autism-friendly-pennsylvania/,Sesame Place Is Now The First Official Autism-Friendly Theme Park
31,6386,https://www.fatherly.com/health-science/science-benefits-of-fatherhood-dads-father-effect/,Scientists Finally Know What Dads Do for Their Kids
32,5308,https://www.fatherly.com/news/peppa-pig-kids-british-accents/,Why Peppa Pig Might Be Giving Your Kid a British Accent
33,4946,https://www.fatherly.com/love-money/build-resilient-kids-prepared-for-life/,"If You Want Resilient Kids, Always Do These 8 Things"
34,4605,https://www.fatherly.com/love-money/first-episode-the-fatherly-podcast-ken-burns/,Listen to Legendary Filmmaker Ken Burns Get Real on 'The Fatherly Podcast'
35,4375,https://www.fatherly.com/news/amazon-selling-pedophile-baby-clothing/,Amazon Is Under Fire for Selling Horrifying Pro-Pedophile Baby Clothes
36,4333,https://www.fatherly.com/love-money/sex/how-to-have-great-sex-with-small-penis/,5 Ways to Have Great Sex With a Small Penis
37,4109,https://www.fatherly.com/gear/swoveralls-sweatpant-overalls/,'Swoveralls' Are the Sweatpant-Overall Combo You Never Knew You Needed
38,4086,https://www.fatherly.com/love-money/episode-two-fatherly-podcast-frank-grillo/,"Action Star Frank Grillo's Kids Get It: ""Daddy Wants To Be Loved"""
39,4041,https://www.fatherly.com/health-science/psychology/netflix-13-reasons-why-suicidal-thoughts/,"After Startling Findings, Scientists Call On Netflix To Edit '13 Reasons Why'"
40,3907,https://www.fatherly.com/health-science/father-cosleeping-instagram-dangerous-picture/,Why This Facebook-Friendly Photograph is Profoundly Dangerous
41,3893,https://www.fatherly.com/news/parenting-hack-kids-clean-toys-chores/,This Ridiculously Simple Hack Will Make Sure Your Kid Cleans Up Their Toys
42,3827,https://www.fatherly.com/health-science/how-parents-experience-the-death-of-a-child/,Losing a Child Changes You Forever. There's Proof.
43,3748,https://www.fatherly.com/newsletter-sign-up/email-newsletter/,Fatherly Email Newsletter Sign-up
44,3590,https://www.fatherly.com/news/travel-across-america-train-scenic-trip/,You Can Take a Beautiful Cross-Country Train Trip for $213
45,3577,https://www.fatherly.com/parenting/comfort-child-after-mom-dad-angry-fight/,How to Help a Kid After You've Yelled
46,3460,https://www.fatherly.com/gear/qubetents/,Watch These Quick-Pitch Tents Voltron Into A Giant Family Fortress
