,fb_shares,site_link,site_link_title
0,449128,https://www.rd.com/advice/parenting/stop-bullying-strategy/,One Teacher’s Brilliant Strategy to Stop Future School Shootings—And It's Not About Guns
1,36507,https://www.rd.com/food/fun/coffee-black-psychopath-study/,"Bad News, Coffee Drinkers: You Might Be a Psychopath if You Like Your Coffee Black"
2,33472,https://www.rd.com/true-stories/inspiring/hiker-saved-alaskan-timber-wolf/,This Hiker Saved the Life of an Alaskan Timber Wolf—Four Years Later the Wolf Still Remembered Him
3,8708,https://www.rd.com/advice/parenting/inherit-intelligence-from-mom/,Good News! Science Has Confirmed That Kids Get Their Intelligence From Mom
4,8009,https://www.rd.com/health/wellness/body-pain-weight-gain-stress/,Body Pain and Weight Gain Are Actually Signs of Stress
5,7961,https://www.rd.com/health/wellness/why-reading-is-important/,This Is Why Reading Is So Important for Your Brain
6,7050,https://www.rd.com/advice/relationships/couple-down-syndrome/,This Couple with Down Syndrome Proves That Love Has No Limits
7,6763,https://www.rd.com/home/decorating/home-staging-tips/,The First 10 Ways a Professional Stager Would Pretty Up Your Home
8,6573,https://www.rd.com/culture/eg-versus-ie/,"Finally! Here's When to Use ""E.g"" Versus ""I.e"""
9,6399,https://www.rd.com/health/conditions/ejaculate-prevent-prostate-cancer/,Here's How Many Times Men Need to Ejaculate to Prevent Prostate Cancer
10,5603,https://www.rd.com/advice/work-career/computer-f-keys/,Finally! A Definitive List of What Those F1 - F12 Keys Do
11,5271,https://www.rd.com/advice/relationships/love-at-first-sight-isnt-love-lust/,"Sorry, but “Love at First Sight” Isn’t Love at All—It’s Actually Lust"
12,5093,https://www.rd.com/health/wellness/beer-relieves-pain/,Need Pain Relief? Grab a Beer Instead of an Aspirin
13,5086,https://www.rd.com/,Reader’s Digest: Official Site to Subscribe & Find Great Reads
14,4658,https://www.rd.com/health/conditions/pcos-cause-cure/,"Finally, Scientists May Have Found the Cure to PCOS"
15,4440,https://www.rd.com/food/fun/jollibee-taking-over-america/,The 'McDonald's of the Philippines' Is Slowly Taking Over America
16,4342,https://www.rd.com/advice/pets/signs-your-cat-trusts-you/,8 Sure Signs Your Cat Trusts You
17,3903,https://www.rd.com/health/conditions/interrupted-sleep-and-alzheimers/,"If You Keep on Waking Up in the Middle of the Night, Your Brain Is in Trouble"
18,3832,https://www.rd.com/culture/benefits-of-reading/,Here's Why Your Brain Needs You to Read Every Single Day
