Country,"Amount Spent (USD)",Reach,"Result Type",Results,"Results [On Ad]","Reporting Starts","Reporting Ends"
AR,4453.8541343702,239083,"Website Registrations Completed",166,,2017-02-28,2019-01-10
CO,448.9047257351,45911,"Website Registrations Completed",117,,2017-02-28,2019-01-10
US,1148.3992799994,21805,"Website Registrations Completed",23,,2017-02-28,2019-01-10
CL,126.04955237454,21613,"Website Registrations Completed",13,,2017-02-28,2019-01-10
BR,137.87388196451,19758,"Website Registrations Completed",11,,2017-02-28,2019-01-10
MX,115.40465718154,18863,"Website Registrations Completed",22,,2017-02-28,2019-01-10
PE,155.15559444215,18543,"Website Registrations Completed",33,,2017-02-28,2019-01-10
GB,234.76741623766,9400,,,,2017-02-28,2019-01-10
VE,4.2979389042147,2622,"Website Registrations Completed",3,,2017-02-28,2019-01-10
PY,26.397341037282,2238,"Website Registrations Completed",2,,2017-02-28,2019-01-10
CR,18.011362570686,1854,"Website Registrations Completed",5,,2017-02-28,2019-01-10
IN,2.8586291316405,1215,"Website Registrations Completed",2,,2017-02-28,2019-01-10
NG,4.5778046933264,1151,"Website Registrations Completed",4,,2017-02-28,2019-01-10
BD,1.0594919159227,1023,"Website Registrations Completed",2,,2017-02-28,2019-01-10
PK,2.2789071399092,1023,"Website Registrations Completed",6,,2017-02-28,2019-01-10
NP,1.0594919159227,895,"Website Registrations Completed",1,,2017-02-28,2019-01-10
LK,1.2993768780184,831,"Website Registrations Completed",1,,2017-02-28,2019-01-10
TN,1.1994248104785,767,,,,2017-02-28,2019-01-10
UY,5.6572870227571,575,"Website Registrations Completed",1,,2017-02-28,2019-01-10
ET,0.44978430392945,448,,,,2017-02-28,2019-01-10
MA,0.71965488628712,384,"Website Registrations Completed",2,,2017-02-28,2019-01-10
MM,0.44978430392945,256,,,,2017-02-28,2019-01-10
MK,0.30985140937362,192,,,,2017-02-28,2019-01-10
EG,0.47976992419141,192,,,,2017-02-28,2019-01-10
GH,0.58971719848528,192,"Website Registrations Completed",2,,2017-02-28,2019-01-10
BA,0.18990892832577,133,,,,2017-02-28,2019-01-10
